episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,policy_reward_min/pol,policy_reward_max/pol,policy_reward_mean/pol,hist_stats/episode_reward,hist_stats/episode_lengths,hist_stats/policy_pol_reward,sampler_perf/mean_env_wait_ms,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/pol/allreduce_latency,info/learner/pol/cur_kl_coeff,info/learner/pol/cur_lr,info/learner/pol/total_loss,info/learner/pol/policy_loss,info/learner/pol/vf_loss,info/learner/pol/vf_explained_var,info/learner/pol/kl,info/learner/pol/entropy,info/learner/pol/entropy_coeff
-1.0,-1.0,-1.0,1827.0,1,0,4000,False,1,1,0bf09665cbf44620ad488c916b851076,2021-04-30_18-04-28,1619773468,49.13377022743225,49.13377022743225,47833,Hinton,143.248.157.211,49.13377022743225,0,1,ec5dd_00000,-1.0,-1.0,-1.0,[-1.0],[1827],[-1.0],0.9452370636703312,3.8011180135912372,2.0151995206230793,0.042066071159212154,27301.439,146.512,21831.356,183.223,4000,4000,33.08428571428571,56.70428571428572,0.0,0.2,5e-05,-0.013797777821309865,-0.027081821928732097,0.007205374946352094,0.8296154,0.030393345223274082,1.5785068161785603,0.0
-0.9974,-1.0,-0.9984000000000001,2407.6666666666665,2,0,8000,False,3,2,0bf09665cbf44620ad488c916b851076,2021-04-30_18-05-22,1619773522,54.124457120895386,103.25822734832764,47833,Hinton,143.248.157.211,103.25822734832764,0,2,ec5dd_00000,-1.0,-0.9974,-0.9984000000000001,"[-0.9978, -0.9974, -1.0]","[2713, 2683, 1827]","[-0.9978, -0.9974, -1.0]",0.9744321921853092,3.876570387795167,2.2130989075878102,0.043792908587003736,29121.162,137.357,22506.619,177.725,8000,8000,36.85974025974026,61.59220779220777,0.0,0.30000000000000004,5e-05,0.03827466952498071,-0.01993926108116284,0.053971434594132006,0.22987516,0.014141653577098623,1.5757553987205029,0.0
-0.9974,-1.0,-0.9987999999999999,2332.5,1,0,12000,False,4,3,0bf09665cbf44620ad488c916b851076,2021-04-30_18-06-16,1619773576,53.801554441452026,157.05978178977966,47833,Hinton,143.248.157.211,157.05978178977966,0,3,ec5dd_00000,-1.0,-0.9974,-0.9987999999999999,"[-1.0, -1.0, -0.9978, -0.9974]","[2107, 1827, 2713, 2683]","[-1.0, -1.0, -0.9978, -0.9974]",0.9829847600941728,3.8955789019294498,2.293415068221623,0.04430722430415059,30245.265,132.252,22106.63,180.941,12000,12000,38.225974025974025,62.0038961038961,0.0,0.30000000000000004,5e-05,0.1900760754942894,-0.01969788788119331,0.20378804951906204,0.63683486,0.01995304087176919,1.5633809827268124,0.0
0.0,-1.0,-0.79904,2866.4,1,0,16000,False,5,4,0bf09665cbf44620ad488c916b851076,2021-04-30_18-07-13,1619773633,56.82620143890381,213.88598322868347,47833,Hinton,143.248.157.211,213.88598322868347,0,4,ec5dd_00000,-1.0,0.0,-0.79904,"[0.0, -1.0, -0.9978, -0.9974, -1.0]","[5002, 1827, 2713, 2683, 2107]","[0.0, -1.0, -0.9978, -0.9974, -1.0]",0.9909587179243641,3.912323905566518,2.3767977854401656,0.044825441403420443,31115.809,128.552,22354.255,178.937,16000,16000,37.25679012345679,62.502469135802464,0.0,0.30000000000000004,5e-05,0.08723333606030792,-0.017472254869062454,0.0997492796741426,0.36101514,0.016521035082405433,1.5376058854162693,0.0
0.0,-1.0,-0.6658666666666667,3222.3333333333335,1,0,20000,False,6,5,0bf09665cbf44620ad488c916b851076,2021-04-30_18-08-09,1619773689,55.642658948898315,269.5286421775818,47833,Hinton,143.248.157.211,269.5286421775818,0,5,ec5dd_00000,-1.0,0.0,-0.6658666666666667,"[0.0, -1.0, -0.9978, -0.9974, -1.0, 0.0]","[5002, 1827, 2713, 2683, 2107, 5002]","[0.0, -1.0, -0.9978, -0.9974, -1.0, 0.0]",0.9955627107562929,3.922040557142053,2.429799030291685,0.045133890795910146,30999.551,129.034,22904.72,174.636,20000,20000,35.87468354430379,62.016455696202534,0.0,0.30000000000000004,5e-05,0.016854288027388975,-0.02072642877465114,0.03299240954220295,0.31171477,0.015294353914214298,1.517265647649765,0.0
0.0,-1.0,-0.6658666666666667,3222.3333333333335,0,0,24000,False,6,6,0bf09665cbf44620ad488c916b851076,2021-04-30_18-09-03,1619773743,54.13921809196472,323.6678602695465,47833,Hinton,143.248.157.211,323.6678602695465,0,6,ec5dd_00000,-1.0,0.0,-0.6658666666666667,"[-1.0, -0.9978, -0.9974, -1.0, 0.0, 0.0]","[1827, 2713, 2683, 2107, 5002, 5002]","[-1.0, -0.9978, -0.9974, -1.0, 0.0, 0.0]",0.9955627107562929,3.922040557142054,2.429799030291685,0.045133890795910146,30898.045,129.458,23045.012,173.573,24000,24000,36.679220779220785,62.08441558441556,0.0,0.30000000000000004,5e-05,-0.003341297502629459,-0.013173755200114101,0.006037890416337177,0.55946255,0.012648558069486171,1.5100940242409706,0.0
0.0,-1.0,-0.5707428571428571,3476.5714285714284,1,0,28000,False,7,7,0bf09665cbf44620ad488c916b851076,2021-04-30_18-10-02,1619773802,59.228023529052734,382.89588379859924,47833,Hinton,143.248.157.211,382.89588379859924,0,7,ec5dd_00000,-1.0,0.0,-0.5707428571428571,"[0.0, -1.0, -0.9978, -0.9974, -1.0, 0.0, 0.0]","[5002, 1827, 2713, 2683, 2107, 5002, 5002]","[0.0, -1.0, -0.9978, -0.9974, -1.0, 0.0, 0.0]",1.0002764047270445,3.9327886760193778,2.4732404926415215,0.045446702378496635,31305.394,127.774,23392.472,170.995,28000,28000,45.06823529411766,65.87529411764706,0.0,0.30000000000000004,5e-05,-0.009174575476208702,-0.013753331586485729,0.0012146791104896693,0.634074,0.011213592981221154,1.5050040259957314,0.0
0.0,-1.0,-0.4994,3667.25,1,0,32000,False,8,8,0bf09665cbf44620ad488c916b851076,2021-04-30_18-11-10,1619773870,67.49624490737915,450.3921287059784,47833,Hinton,143.248.157.211,450.3921287059784,0,8,ec5dd_00000,-1.0,0.0,-0.4994,"[0.0, -1.0, -0.9978, -0.9974, -1.0, 0.0, 0.0, 0.0]","[5002, 1827, 2713, 2683, 2107, 5002, 5002, 5002]","[0.0, -1.0, -0.9978, -0.9974, -1.0, 0.0, 0.0, 0.0]",1.007697399175472,3.953824214124433,2.5211642752046,0.0458771501738776,32342.269,123.677,23955.209,166.978,32000,32000,53.46041666666667,70.93645833333333,0.0,0.30000000000000004,5e-05,-0.01453244173899293,-0.018483647902030498,0.0004724081945823855,0.66842294,0.011595994874369353,1.4831786900758743,0.0
0.0,-1.0,-0.44391111111111115,3815.5555555555557,1,0,36000,False,9,9,0bf09665cbf44620ad488c916b851076,2021-04-30_18-12-24,1619773944,73.70602250099182,524.0981512069702,47833,Hinton,143.248.157.211,524.0981512069702,0,9,ec5dd_00000,-1.0,0.0,-0.44391111111111115,"[0.0, -1.0, -0.9978, -0.9974, -1.0, 0.0, 0.0, 0.0, 0.0]","[5002, 1827, 2713, 2683, 2107, 5002, 5002, 5002, 5002]","[0.0, -1.0, -0.9978, -0.9974, -1.0, 0.0, 0.0, 0.0, 0.0]",1.0167161144041985,3.9816438236977496,2.5778154416991024,0.0463736525332655,33575.296,119.135,24656.224,162.231,36000,36000,54.532380952380954,72.90095238095238,0.0,0.30000000000000004,5e-05,-0.013687304279301316,-0.018227925582323223,0.00010527504196033988,0.6035856,0.014784481580136344,1.4803205877542496,0.0
0.0,-1.0,-0.39952,3934.2,1,0,40000,False,10,10,0bf09665cbf44620ad488c916b851076,2021-04-30_18-13-37,1619774017,73.40950632095337,597.5076575279236,47833,Hinton,143.248.157.211,597.5076575279236,0,10,ec5dd_00000,-1.0,0.0,-0.39952,"[0.0, -1.0, -0.9978, -0.9974, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[5002, 1827, 2713, 2683, 2107, 5002, 5002, 5002, 5002, 5002]","[0.0, -1.0, -0.9978, -0.9974, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0265275422608966,4.012914865639624,2.636948387777669,0.04689974194906539,34597.052,115.617,25152.075,159.033,40000,40000,54.68653846153846,72.80576923076923,0.0,0.30000000000000004,5e-05,-0.008782865770626813,-0.010303216404281557,8.13348861470331e-05,0.3251567,0.004796719062142074,1.4932452477514744,0.0
